feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
0610005C13Rik,Group,0.1143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.5625,1.3576
0610007P14Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1379,0.1864
0610009B22Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0609,0.0852
0610009L18Rik,Group,0.8286,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9494,-0.0749
0610009O20Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1109,0.1517
0610010F05Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1372,0.1855
0610010K14Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1748,0.2324
0610011F06Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0216,0.0309
0610012G03Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0583,0.0817
0610030E20Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0894,0.1235
0610037L13Rik,Group,0.6286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0621,0.0869
0610038B21Rik,Group,0.3143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2162,0.2824
0610039K10Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
0610040B10Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0101,0.0145
0610040J01Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.1,1.0704
0610043K17Rik,Group,0.6571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2727,0.3479
1010001N08Rik,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.3333,-1.585
1110001J03Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0311,0.0441
1110002L01Rik,Group,0.0571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.244,0.315
1110004E09Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1387,0.1874
1110004F10Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0569,0.0798
1110006O24Rik,Group,0.4,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8222,-0.2824
1110007C09Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1079,0.1479
1110008F13Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0529,0.0744
1110008L16Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1638,0.2189
1110008P14Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0749,0.1042
1110012L19Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0604,0.0846
1110017D15Rik,Group,0.8571,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.913,-0.1312
1110019D14Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.211,0.2762
1110020A21Rik,Group,0.4,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1579,0.2115
1110032A03Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0248,0.0353
1110034G24Rik,Group,0.1714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1908,0.2519
1110037F02Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2543,0.3269
1110038B12Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0902,0.1246
1110038F14Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0999,0.1374
1110046J04Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0814,0.1129
1110051M20Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1521,0.2043
1110059E24Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1589,0.2128
1110059G10Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1351,0.1828
1110065P20Rik,Group,0.8,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0316,0.0448
1190002F15Rik,Group,0.8857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9857,-0.0208
1190002N15Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2039,0.2677
1190005I06Rik,Group,0.8571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1190007I07Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0418,0.0591
1200014J11Rik,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.214,0.2798
1300002E11Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1933,0.255
1300017J02Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1500004A13Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.018,0.0257
1500009C09Rik,Group,0.6571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2,1
1500009L16Rik,Group,0.8,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1228,0.1671
1500011B03Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0426,0.0602
1500011K16Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.075,0.1043
1500012F01Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0572,0.0803
1500012K07Rik,Group,0.5714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.4,0.4854
1500015A07Rik,Group,0.8857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8669,-0.206
1500015O10Rik,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.907,-0.1409
1500017E21Rik,Group,0.6286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2756,0.3511
1500026H17Rik,Group,0.8286,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.75,-0.415
1600002H07Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1071,0.1468
1600002K03Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0053,0.0077
1600012H06Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1149,0.157
1600014C10Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1528,0.2052
1600014C23Rik,Group,0.3143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.25,1.1699
1600020E01Rik,Group,0.8857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9666,-0.0491
1600023N17Rik,Group,0.4,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.4444,-1.1699
1600027J07Rik,Group,0.3143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.3871,-1.3692
1600029O15Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.5,0.585
1700001C19Rik,Group,0.1429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,6,2.585
1700001G11Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1818,0.241
1700001G17Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.35,0.433
1700001K19Rik,Group,0.3714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7059,-0.5025
1700001K23Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1111,0.152
1700001L05Rik,Group,0.0286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.6818,0.75
1700001L19Rik,Group,0.3714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2143,0.2801
1700001O22Rik,Group,0.1429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.6471,0.7199
1700001P01Rik,Group,0.3429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.6923,-0.5305
1700003E16Rik,Group,0.2286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1625,0.2172
1700003F12Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2179,0.2844
1700003G18Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1700003M02Rik,Group,0.9714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8333,-0.263
1700003M07Rik,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.6667,-0.585
1700006H21Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1700007G11Rik,Group,0.0857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2,1
1700007J10Rik,Group,0.8857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9083,-0.1388
1700007K09Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,3,1.585
1700007K13Rik,Group,0.9714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9344,-0.0978
1700007L15Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1700008J07Rik,Group,0.3429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8354,-0.2594
1700008O03Rik,Group,0.2571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,5,2.3219
1700009N14Rik,Group,0.8571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2273,0.2955
1700010D01Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
